                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    



    NUMBER OF NODES                 (NNODE)...: 60
    NUMBER OF SOIL MATERIALS        (NMAT)....:  4
    NUMBER OF LAYERS (NLAY)....:  1
    KODE   OF SOLUTION METHOD (KODE)....:  4
    KODE   FOR RESTART READING      (KREST)...:  0
    KODE   FOR BOUNDARY CONDITIONS  (KBOUN)...:  0
    KODE FOR COMP.INTEBLOCK COND.   (KBLOCK)..:  4


                             SOIL PARAMETERS
                             ***************

    IM   KS(IM)     PA(IM)   ALFA(IM)  BETA(IM)  GAMMA(IM) TETAS(IM) TETAR(IM)
        43    1   84.50        -1.000000E+02        7.902810E-02
        44    1   86.50        -1.000000E+02        7.902810E-02
        45    1   88.50        -1.000000E+02        7.902810E-02
        46    1   90.50        -1.000000E+02        7.902810E-02
        47    1   92.50        -1.000000E+02        7.902810E-02
        48    1   94.50        -1.000000E+02        7.902810E-02
        49    1   96.50        -1.000000E+02        7.902810E-02
        50    1   98.50        -1.000000E+02        7.902810E-02
        51    1  100.50        -1.000000E+02        7.902810E-02
        52    1  102.50        -1.000000E+02        7.902810E-02
        53    1  104.50        -1.000000E+02        7.902810E-02
        54    1  106.50        -1.000000E+02        7.902810E-02
        55    1  108.50        -1.000000E+02        7.902810E-02
        56    1  110.50        -1.000000E+02        7.902810E-02
        57    1  112.50        -1.000000E+02        7.902810E-02
        58    1  114.50        -1.000000E+02        7.902810E-02
        59    1  116.50        -1.000000E+02        7.902810E-02
        60    1  118.50        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     1.823E+02      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   6.0726E-03   CUM. WATER ENTERED:        1.7417E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            6.6934E-04
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.1841E+01
 WATER BALANCE ERROR %:  -1.3486E+01   NUMBER OF TIME STEPS :         197


       NODE  IMAT    Z               H                   T

         1    1    0.50        -2.000000E+01        2.698348E-01
         2    1    2.50        -2.089451E+01        2.668953E-01
         3    1    4.50        -2.211554E+01        2.624129E-01
         4    1    6.50        -2.383855E+01        2.551838E-01
         5    1    8.50        -2.639546E+01        2.426766E-01
         6    1   10.50        -3.050163E+01        2.193529E-01
         7    1   12.50        -3.803739E+01        1.748393E-01
         8    1   14.50        -5.413559E+01        1.132353E-01
         9    1   16.50        -7.945022E+01        8.474150E-02
        10    1   18.50        -9.584290E+01        7.974913E-02
        11    1   20.50        -9.946927E+01        7.911222E-02
        12    1   22.50        -9.994094E+01        7.903735E-02
        13    1   24.50        -9.999384E+01        7.902906E-02
        14    1   26.50        -9.999939E+01        7.902820E-02
        15    1   28.50        -9.999994E+01        7.902811E-02
        16    1   30.50        -9.999999E+01        7.902810E-02
        17    1   32.50        -1.000000E+02        7.902810E-02
        18    1   34.50        -1.000000E+02        7.902810E-02
        19    1   36.50        -1.000000E+02        7.902810E-02
        20    1   38.50        -1.000000E+02        7.902810E-02
        21    1   40.50        -1.000000E+02        7.902810E-02
        22    1   42.50        -1.000000E+02        7.902810E-02
        23    1   44.50        -1.000000E+02        7.902810E-02
        24    1   46.50        -1.000000E+02        7.902810E-02
        25    1   48.50        -1.000000E+02        7.902810E-02
        26    1   50.50        -1.000000E+02        7.902810E-02
        27    1   52.50        -1.000000E+02        7.902810E-02
        28    1   54.50        -1.000000E+02        7.902810E-02
        29    1   56.50        -1.000000E+02        7.902810E-02
        30    1   58.50        -1.000000E+02        7.902810E-02
        31    1   60.50        -1.000000E+02        7.902810E-02
        32    1   62.50        -1.000000E+02        7.902810E-02
